1f634	寝る|zzz|おやすみ|グーグー|寝顔|眠い|眠る|顔	sleeping face|bed|bedtime|face|good|goodnight|nap|night|sleep|sleeping|tired|whatever|yawn|zzz
1f637	マスク顔|ドクター|マスク|医師|歯科医|病気|花粉症|顔|風邪	face with medical mask|cold|dentist|dermatologist|doctor|dr|face|germs|mask|medical|medicine|sick
1f912	熱がある顔|体温計|熱を測る|病気|顔|風邪	face with thermometer|face|ill|sick|thermometer
1f915	包帯を巻いた顔|ケガ|ケガしてる顔|包帯|痛い|顔	face with head-bandage|bandage|face|head-bandage|hurt|injury|ouch
1f922	吐き気を催している顔|具合の悪い顔|吐きそう|気持ち悪い|病気|顔	nauseated face|face|gross|nasty|nauseated|sick|vomit
1f92e	嘔吐する顔|げろ|吐く|気持ち悪い|病気|顔	face vomiting|barf|ew|face|gross|puke|sick|spew|throw|up|vomit|vomiting
1f927	くしゃみする顔|くしゃみ|花粉症|顔|風邪	sneezing face|face|fever|flu|gesundheit|sick|sneeze|sneezing
1f975	暑い顔|暑さ|死にそう|汗|熱中症|発熱|舌を出した顔|赤い顔	hot face|dying|face|feverish|heat|hot|panting|red-faced|stroke|sweating|tongue
1f976	寒い顔|しもやけ|つらら|凍え|寒さ|氷点下|青|青い顔|顔	cold face|blue|blue-faced|cold|face|freezing|frostbite|icicles|subzero|teeth
1f974	ふらふらの顔|うつろな目|べろんべろん|ほろ酔い|めまい|中毒	woozy face|dizzy|drunk|eyes|face|intoxicated|mouth|tipsy|uneven|wavy|woozy
1f635	めまい|ふらふら|疲れた|病気|顔	face with crossed-out eyes|crossed-out|dead|dizzy|eyes|face|feels|knocked|out|sick|tired
1f635-200d-1f4ab	目を回した顔|くらくら|ふらふら|めまい|渦巻き|目がぐるぐる|目が回る	face with spiral eyes|confused|dizzy|eyes|face|hypnotized|omg|smiley|spiral|trouble|whoa|woah|woozy
1f92f	頭爆発|ショック|びっくり|ぼんっ|爆発|顔|驚き	exploding head|blown|explode|exploding|head|mind|mindblown|no|shocked|way
1f920	カウボーイの顔|カウガール|カウボーイ|帽子|顔	cowboy hat face|cowboy|cowgirl|face|hat
1f973	パーティーの顔|おめでとう|お祝い|パーティー|ハッピーバースデー|帽子|笑顔|笛|誕生日	partying face|bday|birthday|celebrate|celebration|excited|face|happy|hat|hooray|horn|party|partying
1f978	変装した顔|ひげ|メガネ|仮装|口ひげ|変装|顔	disguised face|disguise|eyebrow|face|glasses|incognito|moustache|mustache|nose|person|spy|tache|tash
1f60e	サングラスで笑顔|クール|サングラス|スマイル|眼鏡|笑顔|顔	smiling face with sunglasses|awesome|beach|bright|bro|chilling|cool|face|rad|relaxed|shades|slay|smile|style|sunglasses|swag|win
1f913	オタク|エキスパート|ガリ勉|マニア|メガネ|優等生|利口|知的|秀才|顔	nerd face|brainy|clever|expert|face|geek|gifted|glasses|intelligent|nerd|smart
1f9d0	モノクルを付けた顔|メガネ|上品|片眼鏡|考える|顔	face with monocle|classy|face|fancy|monocle|rich|stuffy|wealthy
1f615	混乱|しかめ面|ふーん|わからない|困惑|顔	confused face|befuddled|confused|confusing|dunno|face|frown|hm|meh|not|sad|sorry|sure
1fae4	口が斜めの顔|不信|不満|困惑|無気力|無関心|顔	face with diagonal mouth|confused|confusion|diagonal|disappointed|doubt|doubtful|face|frustrated|frustration|meh|mouth|skeptical|unsure|whatever|wtv
1f61f	悩む顔|困った|心配|悲しい|顔	worried face|anxious|butterflies|face|nerves|nervous|sad|stress|stressed|surprised|worried|worry
1f641	少し困った顔|しかめ面|困った|少し困った|顔	slightly frowning face|face|frown|frowning|sad|slightly
2639	困った顔|しかめ面|困った|悲しい|顔	frowning face|face|frown|frowning|sad
1f62e	口が開いた顔|へー|信じられない|共感|顔|驚き	face with open mouth|believe|face|forgot|mouth|omg|open|shocked|surprised|sympathy|unbelievable|unreal|whoa|wow|you
1f62f	ぽかーん|すごいね|びっくり|びっくり顔|顔|驚き	hushed face|epic|face|hushed|omg|stunned|surprised|whoa|woah
1f632	びっくり|えーっ|びっくりした顔|まさか|顔|驚き|驚愕	astonished face|astonished|cost|face|no|omg|shocked|totally|way
1f633	赤面|えーっ|とまどい|赤くなる|顔|驚き	flushed face|amazed|awkward|crazy|dazed|dead|disbelief|embarrassed|face|flushed|geez|heat|hot|impressed|jeez|what|wow
1f97a	訴えるような顔|お願い|ぴえん|大きな目|子犬の目|悲しみ|情け|懇願|顔	pleading face|begging|big|eyes|face|mercy|not|pleading|please|pretty|puppy|sad|why
1f979	涙をこらえた顔|うるうる|嬉し泣き|懇願|泣き顔|涙|顔	face holding back tears|admiration|aww|back|cry|embarrassed|face|feelings|grateful|gratitude|holding|joy|please|proud|resist|sad|tears
1f626	あきれ顔|しかめ面|しかめ顔|ぽかーん|不本意|不満|口を開けた顔|呆然|顔|驚き	frowning face with open mouth|caught|face|frown|frowning|guard|mouth|open|scared|scary|surprise|what|wow
1f627	苦悩|困った顔|苦悶|顔|驚き	anguished face|anguished|face|forgot|scared|scary|stressed|surprise|unhappy|what|wow
1f628	青ざめ|がーん|不安|怖い|青ざめた顔|顔	fearful face|afraid|anxious|blame|face|fear|fearful|scared|worried
1f630	冷や汗青ざめ|冷や汗|寒い|汗|青い顔|青ざめ|顔	anxious face with sweat|anxious|blue|cold|eek|face|mouth|nervous|open|rushed|scared|sweat|yikes
1f625	どうしよう|困った|汗|顔	sad but relieved face|anxious|call|close|complicated|disappointed|face|not|relieved|sad|sweat|time|whew
1f622	泣き顔|ひどい|寂しい|悲しい|泣く|涙|顔	crying face|awful|cry|crying|face|feels|miss|sad|tear|triste|unhappy
1f62d	大泣き|号泣|号泣する顔|悲しい|泣く|涙|顔	loudly crying face|bawling|cry|crying|face|loudly|sad|sob|tear|tears|unhappy
1f631	恐怖|がーん|ショック|叫び|叫んでいる顔|顔|驚き	face screaming in fear|epic|face|fear|fearful|munch|scared|scream|screamer|screaming|shocked|surprised|woah
1f616	困惑した顔|困った|困惑|混乱|顔	confounded face|annoyed|confounded|confused|cringe|distraught|face|feels|frustrated|mad|sad
1f623	我慢|我慢する顔|頭痛|顔	persevering face|concentrate|concentration|face|focus|headache|persevere|persevering
1f61e	失望した顔|がっかり|がっくり|悲しい|残念|顔	disappointed face|awful|blame|dejected|disappointed|face|fail|losing|sad|unhappy
1f613	冷や汗|さむけ|汗|肝を冷やした|頭痛|顔	downcast face with sweat|close|cold|downcast|face|feels|headache|nervous|sad|scared|sweat|yikes
1f629	あきらめ|へとへと|泣き顔|疲れ|腹ぺこ|顔	weary face|crying|face|fail|feels|hungry|mad|nooo|sad|sleepy|tired|unhappy|weary
1f62b	疲れた|くしゃみ|疲れ|疲れた顔|限界|顔	tired face|cost|face|feels|nap|sad|sneeze|tired
1f971	あくびした顔|おやすみ|ふあ～|疲れ|眠い|退屈|顔	yawning face|bedtime|bored|face|goodnight|nap|night|sleep|sleepy|tired|whatever|yawn|yawning|zzz
1f624	勝ち誇った顔|ふんっ|得意気|怒り|顔|鼻息	face with steam from nose|anger|angry|face|feels|fume|fuming|furious|fury|mad|nose|steam|triumph|unhappy|won
1f621	ふくれっ面|かんかん|ぷんぷん|怒り|激怒|赤い顔|顔	enraged face|anger|angry|enraged|face|feels|mad|maddening|pouting|rage|red|shade|unhappy|upset
1f620	ぷんぷん|不満|怒った|怒った顔|怒り|顔	angry face|anger|angry|blame|face|feels|frustrated|mad|maddening|rage|shade|unhappy|upset
1f92c	ののしる|シンボルが口にある顔|ののしり|怒り|悪口|検閲|顔	face with symbols on mouth|censor|cursing|cussing|face|mad|mouth|pissed|swearing|symbols
1f608	笑った悪魔|スマイル|デビル|悪魔|笑顔|角|顔	smiling face with horns|demon|devil|evil|face|fairy|fairytale|fantasy|horns|purple|shade|smile|smiling|tale
1f47f	怒った悪魔|かんかん|デビル|悪魔|激怒|角|顔	angry face with horns|angry|demon|devil|evil|face|fairy|fairytale|fantasy|horns|imp|mischievous|purple|shade|tale
1f480	ドクロ|スカル|死|死者|頭蓋骨|顔|骸骨	skull|body|dead|death|face|fairy|fairytale|i’m|lmao|monster|tale|yolo
2620	ドクロと骨|スカル|ドクロ|死|顔|骨|骸骨	skull and crossbones|bone|crossbones|dead|death|face|monster|skull
1f4a9	うんち|うんこ|臭い|顔	pile of poo|bs|comic|doo|dung|face|fml|monster|pile|poo|poop|smelly|smh|stink|stinks|stinky|turd
1f921	ピエロの顔|ピエロ|道化師|顔	clown face|clown|face
1f479	鬼|お面|なまはげ|化け物|怖い|顔	ogre|creature|devil|face|fairy|fairytale|fantasy|mask|monster|scary|tale
1f47a	天狗|お面|怒り	goblin|angry|creature|face|fairy|fairytale|fantasy|mask|mean|monster|tale
1f47b	お化け|ゴースト|ハロウィーン|ユーレイ|幽霊|怖い	ghost|boo|creature|excited|face|fairy|fairytale|fantasy|halloween|haunting|monster|scary|silly|tale
